Id,Lat,Lon,Hrapy,Hrapx,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117
174369,24.4887,-82.1949,120,1023,0.07,0.04,0.09,0.08,0.16,0.11,0.13,0.97,0.51,0.38,0.55,0.35,0.07,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174372,24.4509,-82.0963,120,1026,0.07,0.06,0.15,0.09,0.25,0.21,0.46,1.02,0.57,0.29,0.44,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179094,24.6163,-82.2522,123,1020,0.04,0.03,0.07,0.03,0.14,0.29,0.08,0.67,0.83,0.99,0.39,0.44,0.18,0.05,0.01,0.02,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179097,24.5786,-82.1533,123,1023,0.07,0.06,0.07,0.07,0.23,0.16,0.16,0.98,0.67,0.56,0.81,0.4,0.05,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179100,24.5406,-82.0546,123,1026,0.12,0.05,0.11,0.09,0.35,0.21,0.38,1.3,0.71,0.5,0.34,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179103,24.5026,-81.956,123,1029,0.09,0.12,0.26,0.07,0.41,0.39,1.08,0.81,0.44,0.16,0.07,0.02,0.08,0.03,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179106,24.4644,-81.8576,123,1032,0.17,0.32,0.21,0.28,0.54,0.63,0.84,0.87,0.13,0.1,0.06,0.02,0.11,0.06,0.0,0.0,0.02,0.02,0.01,0.02,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183822,24.7063,-82.2107,126,1020,0.04,0.04,0.07,0.04,0.13,0.29,0.12,0.64,0.85,1.22,0.51,0.53,0.19,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183825,24.6684,-82.1116,126,1023,0.07,0.05,0.07,0.06,0.28,0.2,0.15,1.08,0.69,0.83,0.99,0.56,0.06,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183828,24.6304,-82.0128,126,1026,0.11,0.05,0.08,0.12,0.29,0.27,0.26,1.31,0.94,0.62,0.45,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183831,24.5922,-81.9141,126,1029,0.09,0.1,0.17,0.1,0.48,0.33,0.73,1.34,0.77,0.36,0.11,0.04,0.1,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
