Id,Hrapx,Hrapy,Lat,Lon,Globvalue
172793,1023,119,24.4588,-82.2087,0.08
172794,1024,119,24.4462,-82.1759,0.04
174367,1021,120,24.5139,-82.2607,0.17
174368,1022,120,24.5013,-82.2278,0.15
174369,1023,120,24.4887,-82.1949,0.07
174370,1024,120,24.4761,-82.1620,0.03
174371,1025,120,24.4635,-82.1292,0.01
175942,1020,121,24.5564,-82.2798,0.20
175943,1021,121,24.5438,-82.2469,0.18
175944,1022,121,24.5313,-82.2140,0.14
175945,1023,121,24.5187,-82.1811,0.07
175946,1024,121,24.5061,-82.1482,0.03
175947,1025,121,24.4935,-82.1153,0.02
175950,1028,121,24.4555,-82.0168,0.01
175951,1029,121,24.4428,-81.9839,0.03
177517,1019,122,24.5989,-82.2990,0.20
177518,1020,122,24.5864,-82.2660,0.21
177519,1021,122,24.5738,-82.2331,0.15
177520,1022,122,24.5612,-82.2001,0.13
177521,1023,122,24.5486,-82.1672,0.06
177522,1024,122,24.5360,-82.1343,0.03
177523,1025,122,24.5234,-82.1014,0.02
177524,1026,122,24.5107,-82.0685,0.01
177525,1027,122,24.4981,-82.0357,0.01
177526,1028,122,24.4854,-82.0028,0.02
177527,1029,122,24.4727,-81.9700,0.05
177528,1030,122,24.4600,-81.9372,0.09
177529,1031,122,24.4473,-81.9044,0.09
177530,1032,122,24.4345,-81.8716,0.06
177531,1033,122,24.4218,-81.8388,0.08
179093,1019,123,24.6289,-82.2852,0.25
179094,1020,123,24.6163,-82.2522,0.18
179095,1021,123,24.6038,-82.2192,0.23
179096,1022,123,24.5912,-82.1863,0.15
179097,1023,123,24.5786,-82.1533,0.05
179098,1024,123,24.5659,-82.1204,0.02
179099,1025,123,24.5533,-82.0875,0.02
179100,1026,123,24.5406,-82.0546,0.01
179101,1027,123,24.5280,-82.0217,0.02
179102,1028,123,24.5153,-81.9889,0.03
179103,1029,123,24.5026,-81.9560,0.08
179104,1030,123,24.4899,-81.9232,0.12
179105,1031,123,24.4771,-81.8904,0.13
179106,1032,123,24.4644,-81.8576,0.11
179107,1033,123,24.4516,-81.8248,0.15
179108,1034,123,24.4388,-81.7920,0.21
180669,1019,124,24.6589,-82.2714,0.23
180670,1020,124,24.6463,-82.2384,0.24
180671,1021,124,24.6337,-82.2054,0.22
180672,1022,124,24.6211,-82.1724,0.12
180673,1023,124,24.6085,-82.1395,0.05
180674,1024,124,24.5959,-82.1065,0.03
180675,1025,124,24.5832,-82.0736,0.02
180676,1026,124,24.5706,-82.0407,0.02
180677,1027,124,24.5579,-82.0078,0.03
180678,1028,124,24.5452,-81.9749,0.05
180679,1029,124,24.5325,-81.9421,0.10
180680,1030,124,24.5197,-81.9092,0.15
180681,1031,124,24.5070,-81.8764,0.18
180682,1032,124,24.4942,-81.8436,0.16
180683,1033,124,24.4814,-81.8108,0.21
180684,1034,124,24.4687,-81.7780,0.37
180685,1035,124,24.4558,-81.7452,1.02
180686,1036,124,24.4430,-81.7125,1.40
182245,1019,125,24.6889,-82.2575,0.24
182246,1020,125,24.6763,-82.2245,0.20
182247,1021,125,24.6637,-82.1915,0.16
182248,1022,125,24.6511,-82.1585,0.11
182249,1023,125,24.6385,-82.1256,0.05
182250,1024,125,24.6258,-82.0926,0.03
182251,1025,125,24.6132,-82.0597,0.02
