Id,Hrapx,Hrapy,Lat,Lon,Globvalue
38372,562,34,25.5089,-99.1138,0.03
38373,563,34,25.5055,-99.0776,0.02
39948,562,35,25.5415,-99.1101,0.02
80711,349,61,26.6469,-106.9160,0.00
82286,348,62,26.6790,-106.9544,0.00
82287,349,62,26.6801,-106.9172,0.00
82288,350,62,26.6812,-106.8800,0.00
83862,348,63,26.7122,-106.9557,0.00
83863,349,63,26.7133,-106.9185,0.00
83864,350,63,26.7144,-106.8812,0.00
85436,346,64,26.7432,-107.0314,0.02
85437,347,64,26.7443,-106.9942,0.02
85438,348,64,26.7455,-106.9570,0.01
85439,349,64,26.7466,-106.9197,0.01
85440,350,64,26.7477,-106.8825,0.01
85441,351,64,26.7488,-106.8452,0.00
85443,353,64,26.7509,-106.7707,0.01
87011,345,65,26.7752,-107.0700,0.03
87012,346,65,26.7764,-107.0328,0.04
87013,347,65,26.7776,-106.9955,0.04
87014,348,65,26.7787,-106.9582,0.04
87015,349,65,26.7799,-106.9210,0.04
87016,350,65,26.7810,-106.8837,0.03
87017,351,65,26.7821,-106.8464,0.02
87018,352,65,26.7831,-106.8091,0.02
87019,353,65,26.7842,-106.7719,0.02
87020,354,65,26.7852,-106.7346,0.01
87021,355,65,26.7862,-106.6973,0.01
87022,356,65,26.7872,-106.6600,0.01
88587,345,66,26.8085,-107.0714,0.03
88588,346,66,26.8097,-107.0341,0.05
88589,347,66,26.8109,-106.9968,0.06
88590,348,66,26.8120,-106.9595,0.06
88591,349,66,26.8132,-106.9222,0.05
88592,350,66,26.8143,-106.8849,0.05
88593,351,66,26.8153,-106.8476,0.05
88594,352,66,26.8164,-106.8103,0.05
88595,353,66,26.8174,-106.7730,0.03
88596,354,66,26.8185,-106.7357,0.02
88597,355,66,26.8195,-106.6984,0.02
88598,356,66,26.8204,-106.6611,0.01
88599,357,66,26.8214,-106.6238,0.01
90163,345,67,26.8418,-107.0727,0.05
90164,346,67,26.8430,-107.0354,0.06
90165,347,67,26.8442,-106.9981,0.07
90166,348,67,26.8453,-106.9608,0.07
90167,349,67,26.8464,-106.9235,0.06
90168,350,67,26.8476,-106.8861,0.06
90169,351,67,26.8486,-106.8488,0.06
90170,352,67,26.8497,-106.8115,0.05
90171,353,67,26.8507,-106.7742,0.04
90172,354,67,26.8518,-106.7368,0.03
90173,355,67,26.8528,-106.6995,0.02
90174,356,67,26.8537,-106.6622,0.02
90175,357,67,26.8547,-106.6248,0.02
90179,361,67,26.8583,-106.4755,0.01
90180,362,67,26.8591,-106.4382,0.01
90181,363,67,26.8600,-106.4008,0.01
91739,345,68,26.8751,-107.0741,0.04
91740,346,68,26.8763,-107.0367,0.05
91741,347,68,26.8775,-106.9994,0.06
91742,348,68,26.8786,-106.9621,0.06
91743,349,68,26.8797,-106.9247,0.06
91744,350,68,26.8809,-106.8874,0.05
91745,351,68,26.8819,-106.8500,0.05
91746,352,68,26.8830,-106.8127,0.04
91747,353,68,26.8841,-106.7753,0.03
91748,354,68,26.8851,-106.7380,0.03
91749,355,68,26.8861,-106.7006,0.03
91750,356,68,26.8871,-106.6633,0.02
91751,357,68,26.8880,-106.6259,0.02
91752,358,68,26.8889,-106.5885,0.02
91753,359,68,26.8899,-106.5512,0.02
91754,360,68,26.8907,-106.5138,0.02
91755,361,68,26.8916,-106.4765,0.02
91756,362,68,26.8925,-106.4391,0.02
91757,363,68,26.8933,-106.4017,0.02
91758,364,68,26.8941,-106.3644,0.01
93314,344,69,26.9072,-107.1128,0.04
93315,345,69,26.9084,-107.0754,0.03
93316,346,69,26.9096,-107.0381,0.04
93317,347,69,26.9108,-107.0007,0.04
93318,348,69,26.9119,-106.9633,0.04
93319,349,69,26.9131,-106.9260,0.03
93320,350,69,26.9142,-106.8886,0.04
93321,351,69,26.9153,-106.8512,0.03
93322,352,69,26.9163,-106.8139,0.02
93323,353,69,26.9174,-106.7765,0.02
93324,354,69,26.9184,-106.7391,0.02
93325,355,69,26.9194,-106.7017,0.03
93326,356,69,26.9204,-106.6643,0.03
93327,357,69,26.9213,-106.6270,0.04
93328,358,69,26.9223,-106.5896,0.04
93329,359,69,26.9232,-106.5522,0.04
93330,360,69,26.9241,-106.5148,0.03
93331,361,69,26.9249,-106.4774,0.04
93332,362,69,26.9258,-106.4400,0.03
93333,363,69,26.9266,-106.4027,0.02
93334,364,69,26.9274,-106.3653,0.02
93335,365,69,26.9282,-106.3279,0.01
94890,344,70,26.9405,-107.1142,0.02
94891,345,70,26.9417,-107.0768,0.02
94892,346,70,26.9429,-107.0394,0.02
94893,347,70,26.9441,-107.0020,0.02
94894,348,70,26.9453,-106.9646,0.02
94895,349,70,26.9464,-106.9272,0.03
94896,350,70,26.9475,-106.8898,0.03
94897,351,70,26.9486,-106.8524,0.02
94898,352,70,26.9497,-106.8150,0.02
94899,353,70,26.9507,-106.7776,0.03
94900,354,70,26.9517,-106.7402,0.03
94901,355,70,26.9527,-106.7028,0.04
94902,356,70,26.9537,-106.6654,0.04
94903,357,70,26.9547,-106.6280,0.05
94904,358,70,26.9556,-106.5906,0.06
94905,359,70,26.9565,-106.5532,0.05
94906,360,70,26.9574,-106.5158,0.04
94907,361,70,26.9583,-106.4784,0.04
94908,362,70,26.9591,-106.4410,0.02
94909,363,70,26.9600,-106.4036,0.02
94910,364,70,26.9608,-106.3662,0.02
94911,365,70,26.9616,-106.3287,0.02
94912,366,70,26.9623,-106.2913,0.02
94913,367,70,26.9631,-106.2539,0.02
94914,368,70,26.9638,-106.2165,0.01
94915,369,70,26.9645,-106.1791,0.01
96466,344,71,26.9738,-107.1156,0.02
96467,345,71,26.9751,-107.0781,0.02
96468,346,71,26.9763,-107.0407,0.03
96469,347,71,26.9774,-107.0033,0.03
96470,348,71,26.9786,-106.9659,0.04
96471,349,71,26.9797,-106.9285,0.04
96472,350,71,26.9808,-106.8911,0.04
96473,351,71,26.9819,-106.8536,0.04
96474,352,71,26.9830,-106.8162,0.04
96475,353,71,26.9840,-106.7788,0.04
96476,354,71,26.9851,-106.7414,0.05
96477,355,71,26.9861,-106.7039,0.07
96478,356,71,26.9871,-106.6665,0.06
96479,357,71,26.9880,-106.6291,0.06
96480,358,71,26.9890,-106.5917,0.05
96481,359,71,26.9899,-106.5542,0.06
96482,360,71,26.9908,-106.5168,0.05
96483,361,71,26.9916,-106.4794,0.04
96484,362,71,26.9925,-106.4419,0.02
96485,363,71,26.9933,-106.4045,0.02
96486,364,71,26.9941,-106.3670,0.03
96487,365,71,26.9949,-106.3296,0.02
96488,366,71,26.9957,-106.2922,0.03
96489,367,71,26.9964,-106.2547,0.02
96490,368,71,26.9971,-106.2173,0.01
98042,344,72,27.0072,-107.1169,0.04
98043,345,72,27.0084,-107.0795,0.05
98044,346,72,27.0096,-107.0421,0.06
98045,347,72,27.0108,-107.0046,0.06
98046,348,72,27.0119,-106.9672,0.07
